agency,site_num,date,discharge_cfs,height_ft
USGS,402114105350101,2013-09-09 00:00,27,4.21
USGS,402114105350101,2013-09-09 00:15,27,4.2
USGS,402114105350101,2013-09-09 00:30,27,4.21
USGS,402114105350101,2013-09-09 00:45,27,4.21
USGS,402114105350101,2013-09-09 01:00,28,4.22
USGS,402114105350101,2013-09-09 01:15,28,4.22
USGS,402114105350101,2013-09-09 01:30,28,4.22
USGS,402114105350101,2013-09-09 01:45,28,4.22
USGS,402114105350101,2013-09-09 02:00,28,4.22
USGS,402114105350101,2013-09-09 02:15,28,4.22
USGS,402114105350101,2013-09-09 02:30,27,4.21
USGS,402114105350101,2013-09-09 02:45,28,4.22
USGS,402114105350101,2013-09-09 03:00,28,4.22
USGS,402114105350101,2013-09-09 03:15,28,4.22
USGS,402114105350101,2013-09-09 03:30,27,4.21
USGS,402114105350101,2013-09-09 03:45,27,4.21
USGS,402114105350101,2013-09-09 04:00,28,4.22
USGS,402114105350101,2013-09-09 04:15,28,4.22
USGS,402114105350101,2013-09-09 04:30,28,4.22
USGS,402114105350101,2013-09-09 04:45,28,4.22
USGS,402114105350101,2013-09-09 05:00,29,4.23
USGS,402114105350101,2013-09-09 05:15,28,4.22
USGS,402114105350101,2013-09-09 05:30,28,4.22
USGS,402114105350101,2013-09-09 05:45,29,4.23
USGS,402114105350101,2013-09-09 06:00,28,4.22
USGS,402114105350101,2013-09-09 06:15,28,4.22
USGS,402114105350101,2013-09-09 06:30,29,4.23
USGS,402114105350101,2013-09-09 06:45,29,4.23
USGS,402114105350101,2013-09-09 07:00,29,4.23
USGS,402114105350101,2013-09-09 07:15,29,4.23
USGS,402114105350101,2013-09-09 07:30,28,4.22
USGS,402114105350101,2013-09-09 07:45,29,4.23
USGS,402114105350101,2013-09-09 08:00,29,4.23
USGS,402114105350101,2013-09-09 08:15,29,4.23
USGS,402114105350101,2013-09-09 08:30,28,4.22
USGS,402114105350101,2013-09-09 08:45,29,4.23
USGS,402114105350101,2013-09-09 09:00,29,4.23
USGS,402114105350101,2013-09-09 09:15,28,4.22
USGS,402114105350101,2013-09-09 09:30,29,4.23
USGS,402114105350101,2013-09-09 09:45,29,4.23
USGS,402114105350101,2013-09-09 10:00,29,4.23
USGS,402114105350101,2013-09-09 10:15,29,4.23
USGS,402114105350101,2013-09-09 10:30,29,4.23
USGS,402114105350101,2013-09-09 10:45,29,4.23
USGS,402114105350101,2013-09-09 11:00,29,4.23
USGS,402114105350101,2013-09-09 11:15,29,4.23
USGS,402114105350101,2013-09-09 11:30,28,4.22
USGS,402114105350101,2013-09-09 11:45,28,4.22
USGS,402114105350101,2013-09-09 12:00,29,4.23
USGS,402114105350101,2013-09-09 12:15,29,4.23
USGS,402114105350101,2013-09-09 12:30,29,4.23
USGS,402114105350101,2013-09-09 12:45,29,4.23
USGS,402114105350101,2013-09-09 13:00,28,4.22
USGS,402114105350101,2013-09-09 13:15,28,4.22
USGS,402114105350101,2013-09-09 13:30,28,4.22
USGS,402114105350101,2013-09-09 13:45,28,4.22
USGS,402114105350101,2013-09-09 14:00,27,4.21
USGS,402114105350101,2013-09-09 14:15,28,4.22
USGS,402114105350101,2013-09-09 14:30,28,4.22
USGS,402114105350101,2013-09-09 14:45,28,4.22
USGS,402114105350101,2013-09-09 15:00,28,4.22
USGS,402114105350101,2013-09-09 15:15,28,4.22
USGS,402114105350101,2013-09-09 15:30,27,4.21
USGS,402114105350101,2013-09-09 15:45,28,4.22
USGS,402114105350101,2013-09-09 16:00,28,4.22
USGS,402114105350101,2013-09-09 16:15,28,4.22
USGS,402114105350101,2013-09-09 16:30,27,4.21
USGS,402114105350101,2013-09-09 16:45,27,4.21
USGS,402114105350101,2013-09-09 17:00,27,4.21
USGS,402114105350101,2013-09-09 17:15,28,4.22
USGS,402114105350101,2013-09-09 17:30,27,4.21
USGS,402114105350101,2013-09-09 17:45,27,4.21
USGS,402114105350101,2013-09-09 18:00,28,4.22
USGS,402114105350101,2013-09-09 18:15,28,4.22
USGS,402114105350101,2013-09-09 18:30,27,4.21
USGS,402114105350101,2013-09-09 18:45,28,4.22
USGS,402114105350101,2013-09-09 19:00,28,4.22
USGS,402114105350101,2013-09-09 19:15,27,4.21
USGS,402114105350101,2013-09-09 19:30,27,4.21
USGS,402114105350101,2013-09-09 19:45,27,4.21
USGS,402114105350101,2013-09-09 20:00,27,4.21
USGS,402114105350101,2013-09-09 20:15,28,4.22
USGS,402114105350101,2013-09-09 20:30,29,4.23
USGS,402114105350101,2013-09-09 20:45,29,4.23
USGS,402114105350101,2013-09-09 21:00,29,4.23
USGS,402114105350101,2013-09-09 21:15,29,4.23
USGS,402114105350101,2013-09-09 21:30,29,4.23
USGS,402114105350101,2013-09-09 21:45,28,4.22
USGS,402114105350101,2013-09-09 22:00,29,4.23
USGS,402114105350101,2013-09-09 22:15,30,4.24
USGS,402114105350101,2013-09-09 22:30,30,4.24
USGS,402114105350101,2013-09-09 22:45,29,4.23
USGS,402114105350101,2013-09-09 23:00,29,4.23
USGS,402114105350101,2013-09-09 23:15,29,4.23
USGS,402114105350101,2013-09-09 23:30,29,4.23
USGS,402114105350101,2013-09-09 23:45,30,4.24
USGS,402114105350101,2013-09-10 00:00,30,4.24
USGS,402114105350101,2013-09-10 00:15,30,4.24
USGS,402114105350101,2013-09-10 00:30,31,4.25
USGS,402114105350101,2013-09-10 00:45,31,4.25
USGS,402114105350101,2013-09-10 01:00,31,4.25
USGS,402114105350101,2013-09-10 01:15,31,4.25
USGS,402114105350101,2013-09-10 01:30,31,4.25
USGS,402114105350101,2013-09-10 01:45,31,4.25
USGS,402114105350101,2013-09-10 02:00,31,4.25
USGS,402114105350101,2013-09-10 02:15,31,4.25
USGS,402114105350101,2013-09-10 02:30,32,4.26
USGS,402114105350101,2013-09-10 02:45,33,4.27
USGS,402114105350101,2013-09-10 03:00,34,4.28
USGS,402114105350101,2013-09-10 03:15,34,4.28
USGS,402114105350101,2013-09-10 03:30,35,4.29
USGS,402114105350101,2013-09-10 03:45,34,4.28
USGS,402114105350101,2013-09-10 04:00,35,4.29
USGS,402114105350101,2013-09-10 04:15,35,4.29
USGS,402114105350101,2013-09-10 04:30,36,4.3
USGS,402114105350101,2013-09-10 04:45,36,4.3
USGS,402114105350101,2013-09-10 05:00,36,4.3
USGS,402114105350101,2013-09-10 05:15,36,4.3
USGS,402114105350101,2013-09-10 05:30,37,4.31
USGS,402114105350101,2013-09-10 05:45,36,4.3
USGS,402114105350101,2013-09-10 06:00,37,4.31
USGS,402114105350101,2013-09-10 06:15,38,4.32
USGS,402114105350101,2013-09-10 06:30,38,4.32
USGS,402114105350101,2013-09-10 06:45,38,4.32
USGS,402114105350101,2013-09-10 07:00,39,4.33
USGS,402114105350101,2013-09-10 07:15,39,4.33
USGS,402114105350101,2013-09-10 07:30,39,4.33
USGS,402114105350101,2013-09-10 07:45,39,4.33
USGS,402114105350101,2013-09-10 08:00,40,4.34
USGS,402114105350101,2013-09-10 08:15,39,4.33
USGS,402114105350101,2013-09-10 08:30,39,4.33
USGS,402114105350101,2013-09-10 08:45,39,4.33
USGS,402114105350101,2013-09-10 09:00,40,4.34
USGS,402114105350101,2013-09-10 09:15,41,4.35
USGS,402114105350101,2013-09-10 09:30,41,4.35
USGS,402114105350101,2013-09-10 09:45,41,4.35
USGS,402114105350101,2013-09-10 10:00,42,4.36
USGS,402114105350101,2013-09-10 10:15,41,4.35
USGS,402114105350101,2013-09-10 10:30,42,4.36
USGS,402114105350101,2013-09-10 10:45,43,4.37
USGS,402114105350101,2013-09-10 11:00,43,4.37
USGS,402114105350101,2013-09-10 11:15,44,4.38
USGS,402114105350101,2013-09-10 11:30,43,4.37
USGS,402114105350101,2013-09-10 11:45,44,4.38
USGS,402114105350101,2013-09-10 12:00,45,4.39
USGS,402114105350101,2013-09-10 12:15,45,4.39
USGS,402114105350101,2013-09-10 12:30,44,4.38
USGS,402114105350101,2013-09-10 12:45,44,4.38
USGS,402114105350101,2013-09-10 13:00,44,4.38
USGS,402114105350101,2013-09-10 13:15,45,4.39
USGS,402114105350101,2013-09-10 13:30,45,4.39
USGS,402114105350101,2013-09-10 13:45,43,4.37
USGS,402114105350101,2013-09-10 14:00,43,4.37
USGS,402114105350101,2013-09-10 14:15,44,4.38
USGS,402114105350101,2013-09-10 14:30,44,4.38
USGS,402114105350101,2013-09-10 14:45,44,4.38
USGS,402114105350101,2013-09-10 15:00,44,4.38
USGS,402114105350101,2013-09-10 15:15,44,4.38
USGS,402114105350101,2013-09-10 15:30,44,4.38
