agency,site_num,date,discharge_cfs,height_ft
USGS,6730500,2013-09-09 00:00,7.4,1
USGS,6730500,2013-09-09 00:15,7.4,1
USGS,6730500,2013-09-09 00:30,7.4,1
USGS,6730500,2013-09-09 00:45,7.4,1
USGS,6730500,2013-09-09 01:00,7.4,1
USGS,6730500,2013-09-09 01:15,7.4,1
USGS,6730500,2013-09-09 01:30,7.4,1
USGS,6730500,2013-09-09 01:45,7.4,1
USGS,6730500,2013-09-09 02:00,7.8,1.01
USGS,6730500,2013-09-09 02:15,7.8,1.01
USGS,6730500,2013-09-09 02:30,7.8,1.01
USGS,6730500,2013-09-09 02:45,7.8,1.01
USGS,6730500,2013-09-09 03:00,7.8,1.01
USGS,6730500,2013-09-09 03:15,7.8,1.01
USGS,6730500,2013-09-09 03:30,7.8,1.01
USGS,6730500,2013-09-09 03:45,8.2,1.02
USGS,6730500,2013-09-09 04:00,8.2,1.02
USGS,6730500,2013-09-09 04:15,8.2,1.02
USGS,6730500,2013-09-09 04:30,8.2,1.02
USGS,6730500,2013-09-09 04:45,8.2,1.02
USGS,6730500,2013-09-09 05:00,8.2,1.02
USGS,6730500,2013-09-09 05:15,8.2,1.02
USGS,6730500,2013-09-09 05:30,8.2,1.02
USGS,6730500,2013-09-09 05:45,8.2,1.02
USGS,6730500,2013-09-09 06:00,8.7,1.03
USGS,6730500,2013-09-09 06:15,8.7,1.03
USGS,6730500,2013-09-09 06:30,8.7,1.03
USGS,6730500,2013-09-09 06:45,8.7,1.03
USGS,6730500,2013-09-09 07:00,8.7,1.03
USGS,6730500,2013-09-09 07:15,8.7,1.03
USGS,6730500,2013-09-09 07:30,8.7,1.03
USGS,6730500,2013-09-09 07:45,8.7,1.03
USGS,6730500,2013-09-09 08:00,8.7,1.03
USGS,6730500,2013-09-09 08:15,8.7,1.03
USGS,6730500,2013-09-09 08:30,8.7,1.03
USGS,6730500,2013-09-09 08:45,8.7,1.03
USGS,6730500,2013-09-09 09:00,8.7,1.03
USGS,6730500,2013-09-09 09:15,8.7,1.03
USGS,6730500,2013-09-09 09:30,8.7,1.03
USGS,6730500,2013-09-09 09:45,8.7,1.03
USGS,6730500,2013-09-09 10:00,8.7,1.03
USGS,6730500,2013-09-09 10:15,8.7,1.03
USGS,6730500,2013-09-09 10:30,8.7,1.03
USGS,6730500,2013-09-09 10:45,8.7,1.03
USGS,6730500,2013-09-09 11:00,8.7,1.03
USGS,6730500,2013-09-09 11:15,8.7,1.03
USGS,6730500,2013-09-09 11:30,8.7,1.03
USGS,6730500,2013-09-09 11:45,8.7,1.03
USGS,6730500,2013-09-09 12:00,8.7,1.03
USGS,6730500,2013-09-09 12:15,8.7,1.03
USGS,6730500,2013-09-09 12:30,8.7,1.03
USGS,6730500,2013-09-09 12:45,8.7,1.03
USGS,6730500,2013-09-09 13:00,8.7,1.03
USGS,6730500,2013-09-09 13:15,8.7,1.03
USGS,6730500,2013-09-09 13:30,8.7,1.03
USGS,6730500,2013-09-09 13:45,8.7,1.03
USGS,6730500,2013-09-09 14:00,8.7,1.03
USGS,6730500,2013-09-09 14:15,8.7,1.03
USGS,6730500,2013-09-09 14:30,8.7,1.03
USGS,6730500,2013-09-09 14:45,8.7,1.03
USGS,6730500,2013-09-09 15:00,8.7,1.03
USGS,6730500,2013-09-09 15:15,8.7,1.03
USGS,6730500,2013-09-09 15:30,8.7,1.03
USGS,6730500,2013-09-09 15:45,8.7,1.03
USGS,6730500,2013-09-09 16:00,8.7,1.03
USGS,6730500,2013-09-09 16:15,8.7,1.03
USGS,6730500,2013-09-09 16:30,8.7,1.03
USGS,6730500,2013-09-09 16:45,9.1,1.04
USGS,6730500,2013-09-09 17:00,9.6,1.05
USGS,6730500,2013-09-09 17:15,9.6,1.05
USGS,6730500,2013-09-09 17:30,10,1.06
USGS,6730500,2013-09-09 17:45,10,1.06
USGS,6730500,2013-09-09 18:00,11,1.07
USGS,6730500,2013-09-09 18:15,11,1.07
USGS,6730500,2013-09-09 18:30,11,1.08
USGS,6730500,2013-09-09 18:45,11,1.08
USGS,6730500,2013-09-09 19:00,11,1.08
USGS,6730500,2013-09-09 19:15,11,1.09
USGS,6730500,2013-09-09 19:30,11,1.09
USGS,6730500,2013-09-09 19:45,11,1.09
USGS,6730500,2013-09-09 20:00,11,1.09
USGS,6730500,2013-09-09 20:15,11,1.09
USGS,6730500,2013-09-09 20:30,12,1.1
USGS,6730500,2013-09-09 20:45,12,1.1
USGS,6730500,2013-09-09 21:00,12,1.1
USGS,6730500,2013-09-09 21:15,12,1.1
USGS,6730500,2013-09-09 21:30,13,1.11
USGS,6730500,2013-09-09 21:45,14,1.13
USGS,6730500,2013-09-09 22:00,14,1.14
USGS,6730500,2013-09-09 22:15,14,1.14
USGS,6730500,2013-09-09 22:30,15,1.15
USGS,6730500,2013-09-09 22:45,15,1.15
USGS,6730500,2013-09-09 23:00,15,1.16
USGS,6730500,2013-09-09 23:15,16,1.17
USGS,6730500,2013-09-09 23:30,16,1.17
USGS,6730500,2013-09-09 23:45,16,1.17
USGS,6730500,2013-09-10 00:00,16,1.17
USGS,6730500,2013-09-10 00:15,16,1.17
USGS,6730500,2013-09-10 00:30,16,1.17
USGS,6730500,2013-09-10 00:45,16,1.17
USGS,6730500,2013-09-10 01:00,16,1.17
USGS,6730500,2013-09-10 01:15,16,1.17
USGS,6730500,2013-09-10 01:30,16,1.17
USGS,6730500,2013-09-10 01:45,16,1.17
USGS,6730500,2013-09-10 02:00,16,1.17
USGS,6730500,2013-09-10 02:15,16,1.17
USGS,6730500,2013-09-10 02:30,16,1.17
USGS,6730500,2013-09-10 02:45,16,1.17
USGS,6730500,2013-09-10 03:00,17,1.18
USGS,6730500,2013-09-10 03:15,17,1.19
USGS,6730500,2013-09-10 03:30,17,1.19
USGS,6730500,2013-09-10 03:45,70,1.72
USGS,6730500,2013-09-10 04:00,95,1.89
USGS,6730500,2013-09-10 04:15,95,1.89
USGS,6730500,2013-09-10 04:30,95,1.89
USGS,6730500,2013-09-10 04:45,94,1.88
USGS,6730500,2013-09-10 05:00,90,1.86
USGS,6730500,2013-09-10 05:15,87,1.84
USGS,6730500,2013-09-10 05:30,86,1.83
USGS,6730500,2013-09-10 05:45,86,1.83
USGS,6730500,2013-09-10 06:00,87,1.84
USGS,6730500,2013-09-10 06:15,90,1.86
USGS,6730500,2013-09-10 06:30,94,1.88
USGS,6730500,2013-09-10 06:45,94,1.88
USGS,6730500,2013-09-10 07:00,94,1.88
USGS,6730500,2013-09-10 07:15,92,1.87
USGS,6730500,2013-09-10 07:30,90,1.86
USGS,6730500,2013-09-10 07:45,90,1.86
USGS,6730500,2013-09-10 08:00,106,1.95
USGS,6730500,2013-09-10 08:15,109,1.97
USGS,6730500,2013-09-10 08:30,109,1.97
USGS,6730500,2013-09-10 08:45,111,1.98
USGS,6730500,2013-09-10 09:00,113,1.99
USGS,6730500,2013-09-10 09:15,117,2.01
USGS,6730500,2013-09-10 09:30,123,2.04
USGS,6730500,2013-09-10 09:45,133,2.09
USGS,6730500,2013-09-10 10:00,141,2.13
USGS,6730500,2013-09-10 10:15,143,2.14
USGS,6730500,2013-09-10 10:30,145,2.15
USGS,6730500,2013-09-10 10:45,145,2.15
USGS,6730500,2013-09-10 11:00,147,2.16
USGS,6730500,2013-09-10 11:15,147,2.16
USGS,6730500,2013-09-10 11:30,149,2.17
USGS,6730500,2013-09-10 11:45,151,2.18
USGS,6730500,2013-09-10 12:00,154,2.19
USGS,6730500,2013-09-10 12:15,156,2.2
USGS,6730500,2013-09-10 12:30,158,2.21
USGS,6730500,2013-09-10 12:45,158,2.21
USGS,6730500,2013-09-10 13:00,158,2.21
USGS,6730500,2013-09-10 13:15,158,2.21
USGS,6730500,2013-09-10 13:30,158,2.21
USGS,6730500,2013-09-10 13:45,160,2.22
USGS,6730500,2013-09-10 14:00,163,2.23
USGS,6730500,2013-09-10 14:15,163,2.23
USGS,6730500,2013-09-10 14:30,165,2.24
USGS,6730500,2013-09-10 14:45,165,2.24
USGS,6730500,2013-09-10 15:00,167,2.25
USGS,6730500,2013-09-10 15:15,167,2.25
USGS,6730500,2013-09-10 15:30,167,2.25
USGS,6730500,2013-09-10 15:45,169,2.26
USGS,6730500,2013-09-10 16:00,167,2.25
USGS,6730500,2013-09-10 16:15,165,2.24
USGS,6730500,2013-09-10 16:30,165,2.24
USGS,6730500,2013-09-10 16:45,163,2.23
USGS,6730500,2013-09-10 17:00,167,2.25
USGS,6730500,2013-09-10 17:15,172,2.27
USGS,6730500,2013-09-10 17:30,177,2.29
USGS,6730500,2013-09-10 17:45,181,2.31
USGS,6730500,2013-09-10 18:00,181,2.31
USGS,6730500,2013-09-10 18:15,181,2.31
USGS,6730500,2013-09-10 18:30,179,2.3
USGS,6730500,2013-09-10 18:45,177,2.29
USGS,6730500,2013-09-10 19:00,174,2.28
USGS,6730500,2013-09-10 19:15,177,2.29
USGS,6730500,2013-09-10 19:30,174,2.28
USGS,6730500,2013-09-10 19:45,172,2.27
USGS,6730500,2013-09-10 20:00,169,2.26
USGS,6730500,2013-09-10 20:15,167,2.25
USGS,6730500,2013-09-10 20:30,165,2.24
USGS,6730500,2013-09-10 20:45,163,2.23
USGS,6730500,2013-09-10 21:00,163,2.23
USGS,6730500,2013-09-10 21:15,158,2.21
USGS,6730500,2013-09-10 21:30,158,2.21
USGS,6730500,2013-09-10 21:45,154,2.19
USGS,6730500,2013-09-10 22:00,154,2.19
USGS,6730500,2013-09-10 22:15,151,2.18
USGS,6730500,2013-09-10 22:30,147,2.16
USGS,6730500,2013-09-10 22:45,145,2.15
USGS,6730500,2013-09-10 23:00,143,2.14
USGS,6730500,2013-09-10 23:15,141,2.13
USGS,6730500,2013-09-10 23:30,137,2.11
USGS,6730500,2013-09-10 23:45,135,2.1
USGS,6730500,2013-09-11 00:00,133,2.09
USGS,6730500,2013-09-11 00:15,131,2.08
USGS,6730500,2013-09-11 00:30,131,2.08
USGS,6730500,2013-09-11 00:45,129,2.07
USGS,6730500,2013-09-11 01:00,129,2.07
USGS,6730500,2013-09-11 01:15,129,2.07
USGS,6730500,2013-09-11 01:30,127,2.06
USGS,6730500,2013-09-11 01:45,127,2.06
USGS,6730500,2013-09-11 02:00,125,2.05
USGS,6730500,2013-09-11 02:15,125,2.05
USGS,6730500,2013-09-11 02:30,125,2.05
USGS,6730500,2013-09-11 02:45,123,2.04
USGS,6730500,2013-09-11 03:00,123,2.04
USGS,6730500,2013-09-11 03:15,123,2.04
USGS,6730500,2013-09-11 03:30,123,2.04
