agency,site_num,date,discharge_cfs,height_ft
USGS,6752280,2013-09-09 00:00,140,2.89
USGS,6752280,2013-09-09 00:15,126,2.82
USGS,6752280,2013-09-09 00:30,117,2.77
USGS,6752280,2013-09-09 00:45,114,2.74
USGS,6752280,2013-09-09 01:00,109,2.71
USGS,6752280,2013-09-09 01:15,105,2.69
USGS,6752280,2013-09-09 01:30,104,2.68
USGS,6752280,2013-09-09 01:45,102,2.67
USGS,6752280,2013-09-09 02:00,100,2.66
USGS,6752280,2013-09-09 02:15,100,2.66
USGS,6752280,2013-09-09 02:30,99,2.65
USGS,6752280,2013-09-09 02:45,99,2.65
USGS,6752280,2013-09-09 03:00,99,2.65
USGS,6752280,2013-09-09 03:15,97,2.64
USGS,6752280,2013-09-09 03:30,97,2.64
USGS,6752280,2013-09-09 03:45,97,2.64
USGS,6752280,2013-09-09 04:00,97,2.64
USGS,6752280,2013-09-09 04:15,97,2.64
USGS,6752280,2013-09-09 04:30,99,2.65
USGS,6752280,2013-09-09 04:45,99,2.65
USGS,6752280,2013-09-09 05:00,100,2.66
USGS,6752280,2013-09-09 05:15,104,2.68
USGS,6752280,2013-09-09 05:30,107,2.7
USGS,6752280,2013-09-09 05:45,114,2.74
USGS,6752280,2013-09-09 06:00,119,2.78
USGS,6752280,2013-09-09 06:15,124,2.81
USGS,6752280,2013-09-09 06:30,126,2.82
USGS,6752280,2013-09-09 06:45,126,2.82
USGS,6752280,2013-09-09 07:00,126,2.82
USGS,6752280,2013-09-09 07:15,124,2.81
USGS,6752280,2013-09-09 07:30,124,2.81
USGS,6752280,2013-09-09 07:45,124,2.81
USGS,6752280,2013-09-09 08:00,124,2.81
USGS,6752280,2013-09-09 08:15,124,2.81
USGS,6752280,2013-09-09 08:30,124,2.81
USGS,6752280,2013-09-09 08:45,124,2.81
USGS,6752280,2013-09-09 09:00,122,2.8
USGS,6752280,2013-09-09 09:15,121,2.79
USGS,6752280,2013-09-09 09:30,119,2.78
USGS,6752280,2013-09-09 09:45,117,2.77
USGS,6752280,2013-09-09 10:00,117,2.77
USGS,6752280,2013-09-09 10:15,115,2.76
USGS,6752280,2013-09-09 10:30,114,2.74
USGS,6752280,2013-09-09 10:45,110,2.72
USGS,6752280,2013-09-09 11:00,107,2.7
USGS,6752280,2013-09-09 11:15,104,2.68
USGS,6752280,2013-09-09 11:30,102,2.67
USGS,6752280,2013-09-09 11:45,99,2.65
USGS,6752280,2013-09-09 12:00,97,2.64
USGS,6752280,2013-09-09 12:15,96,2.63
USGS,6752280,2013-09-09 12:30,96,2.63
USGS,6752280,2013-09-09 12:45,94,2.62
USGS,6752280,2013-09-09 13:00,96,2.63
USGS,6752280,2013-09-09 13:15,96,2.63
USGS,6752280,2013-09-09 13:30,97,2.64
USGS,6752280,2013-09-09 13:45,97,2.64
USGS,6752280,2013-09-09 14:00,97,2.64
USGS,6752280,2013-09-09 14:15,97,2.64
USGS,6752280,2013-09-09 14:30,96,2.63
USGS,6752280,2013-09-09 14:45,96,2.63
USGS,6752280,2013-09-09 15:00,94,2.62
USGS,6752280,2013-09-09 15:15,94,2.62
USGS,6752280,2013-09-09 15:30,94,2.62
USGS,6752280,2013-09-09 15:45,94,2.62
USGS,6752280,2013-09-09 16:00,96,2.63
USGS,6752280,2013-09-09 16:15,96,2.63
USGS,6752280,2013-09-09 16:30,96,2.63
USGS,6752280,2013-09-09 16:45,96,2.63
USGS,6752280,2013-09-09 17:00,96,2.63
USGS,6752280,2013-09-09 17:15,96,2.63
USGS,6752280,2013-09-09 17:30,96,2.63
USGS,6752280,2013-09-09 17:45,96,2.63
USGS,6752280,2013-09-09 18:00,96,2.63
USGS,6752280,2013-09-09 18:15,96,2.63
USGS,6752280,2013-09-09 18:30,96,2.63
USGS,6752280,2013-09-09 18:45,96,2.63
USGS,6752280,2013-09-09 19:00,96,2.63
USGS,6752280,2013-09-09 19:15,94,2.62
USGS,6752280,2013-09-09 19:30,94,2.62
USGS,6752280,2013-09-09 19:45,94,2.62
USGS,6752280,2013-09-09 20:00,96,2.63
USGS,6752280,2013-09-09 20:15,96,2.63
USGS,6752280,2013-09-09 20:30,97,2.64
USGS,6752280,2013-09-09 20:45,99,2.65
USGS,6752280,2013-09-09 21:00,99,2.65
USGS,6752280,2013-09-09 21:15,99,2.65
USGS,6752280,2013-09-09 21:30,100,2.66
USGS,6752280,2013-09-09 21:45,102,2.67
USGS,6752280,2013-09-09 22:00,104,2.68
USGS,6752280,2013-09-09 22:15,104,2.68
USGS,6752280,2013-09-09 22:30,105,2.69
USGS,6752280,2013-09-09 22:45,107,2.7
USGS,6752280,2013-09-09 23:00,110,2.72
USGS,6752280,2013-09-09 23:15,114,2.74
USGS,6752280,2013-09-09 23:30,117,2.77
USGS,6752280,2013-09-09 23:45,126,2.82
USGS,6752280,2013-09-10 00:00,138,2.88
USGS,6752280,2013-09-10 00:15,144,2.91
USGS,6752280,2013-09-10 00:30,150,2.94
USGS,6752280,2013-09-10 00:45,156,2.97
USGS,6752280,2013-09-10 01:00,160,2.99
USGS,6752280,2013-09-10 01:15,167,3.02
USGS,6752280,2013-09-10 01:30,174,3.05
USGS,6752280,2013-09-10 01:45,176,3.07
USGS,6752280,2013-09-10 02:00,181,3.09
USGS,6752280,2013-09-10 02:15,185,3.11
USGS,6752280,2013-09-10 02:30,188,3.12
USGS,6752280,2013-09-10 02:45,188,3.12
USGS,6752280,2013-09-10 03:00,190,3.13
USGS,6752280,2013-09-10 03:15,190,3.13
USGS,6752280,2013-09-10 03:30,190,3.13
USGS,6752280,2013-09-10 03:45,193,3.14
USGS,6752280,2013-09-10 04:00,195,3.15
USGS,6752280,2013-09-10 04:15,200,3.17
USGS,6752280,2013-09-10 04:30,205,3.19
USGS,6752280,2013-09-10 04:45,208,3.2
USGS,6752280,2013-09-10 05:00,208,3.2
USGS,6752280,2013-09-10 05:15,210,3.21
USGS,6752280,2013-09-10 05:30,210,3.21
USGS,6752280,2013-09-10 05:45,210,3.21
USGS,6752280,2013-09-10 06:00,208,3.2
USGS,6752280,2013-09-10 06:15,208,3.2
USGS,6752280,2013-09-10 06:30,205,3.19
USGS,6752280,2013-09-10 06:45,200,3.17
USGS,6752280,2013-09-10 07:00,198,3.16
USGS,6752280,2013-09-10 07:15,195,3.15
USGS,6752280,2013-09-10 07:30,193,3.14
USGS,6752280,2013-09-10 07:45,190,3.13
USGS,6752280,2013-09-10 08:00,188,3.12
USGS,6752280,2013-09-10 08:15,185,3.11
USGS,6752280,2013-09-10 08:30,183,3.1
USGS,6752280,2013-09-10 08:45,181,3.09
USGS,6752280,2013-09-10 09:00,178,3.08
USGS,6752280,2013-09-10 09:15,178,3.08
USGS,6752280,2013-09-10 09:30,178,3.08
USGS,6752280,2013-09-10 09:45,178,3.08
USGS,6752280,2013-09-10 10:00,181,3.09
USGS,6752280,2013-09-10 10:15,183,3.1
USGS,6752280,2013-09-10 10:30,183,3.1
USGS,6752280,2013-09-10 10:45,183,3.1
USGS,6752280,2013-09-10 11:00,183,3.1
USGS,6752280,2013-09-10 11:15,183,3.1
USGS,6752280,2013-09-10 11:30,183,3.1
USGS,6752280,2013-09-10 11:45,183,3.1
USGS,6752280,2013-09-10 12:00,183,3.1
USGS,6752280,2013-09-10 12:15,181,3.09
USGS,6752280,2013-09-10 12:30,178,3.08
USGS,6752280,2013-09-10 12:45,174,3.06
USGS,6752280,2013-09-10 13:00,169,3.03
USGS,6752280,2013-09-10 13:15,165,3.01
USGS,6752280,2013-09-10 13:30,163,3
USGS,6752280,2013-09-10 13:45,160,2.99
USGS,6752280,2013-09-10 14:00,156,2.97
USGS,6752280,2013-09-10 14:15,154,2.96
USGS,6752280,2013-09-10 14:30,152,2.95
USGS,6752280,2013-09-10 14:45,154,2.96
USGS,6752280,2013-09-10 15:00,156,2.97
USGS,6752280,2013-09-10 15:15,158,2.98
USGS,6752280,2013-09-10 15:30,160,2.99
USGS,6752280,2013-09-10 15:45,163,3
USGS,6752280,2013-09-10 16:00,163,3
USGS,6752280,2013-09-10 16:15,163,3
USGS,6752280,2013-09-10 16:30,163,3
USGS,6752280,2013-09-10 16:45,163,3
USGS,6752280,2013-09-10 17:00,160,2.99
USGS,6752280,2013-09-10 17:15,160,2.99
USGS,6752280,2013-09-10 17:30,160,2.99
USGS,6752280,2013-09-10 17:45,158,2.98
USGS,6752280,2013-09-10 18:00,158,2.98
USGS,6752280,2013-09-10 18:15,160,2.99
USGS,6752280,2013-09-10 18:30,158,2.98
USGS,6752280,2013-09-10 18:45,158,2.98
USGS,6752280,2013-09-10 19:00,160,2.99
USGS,6752280,2013-09-10 19:15,158,2.98
USGS,6752280,2013-09-10 19:30,158,2.98
USGS,6752280,2013-09-10 19:45,158,2.98
USGS,6752280,2013-09-10 20:00,154,2.96
USGS,6752280,2013-09-10 20:15,152,2.95
USGS,6752280,2013-09-10 20:30,152,2.95
USGS,6752280,2013-09-10 20:45,152,2.95
USGS,6752280,2013-09-10 21:00,152,2.95
USGS,6752280,2013-09-10 21:15,150,2.94
USGS,6752280,2013-09-10 21:30,150,2.94
USGS,6752280,2013-09-10 21:45,150,2.94
USGS,6752280,2013-09-10 22:00,150,2.94
USGS,6752280,2013-09-10 22:15,154,2.96
USGS,6752280,2013-09-10 22:30,158,2.98
USGS,6752280,2013-09-10 22:45,165,3.01
USGS,6752280,2013-09-10 23:00,171,3.04
USGS,6752280,2013-09-10 23:15,178,3.08
USGS,6752280,2013-09-10 23:30,183,3.1
USGS,6752280,2013-09-10 23:45,183,3.1
USGS,6752280,2013-09-11 00:00,185,3.11
USGS,6752280,2013-09-11 00:15,188,3.12
USGS,6752280,2013-09-11 00:30,190,3.13
USGS,6752280,2013-09-11 00:45,193,3.14
USGS,6752280,2013-09-11 01:00,193,3.14
USGS,6752280,2013-09-11 01:15,193,3.14
USGS,6752280,2013-09-11 01:30,193,3.14
USGS,6752280,2013-09-11 01:45,190,3.13
USGS,6752280,2013-09-11 02:00,185,3.11
USGS,6752280,2013-09-11 02:15,183,3.1
USGS,6752280,2013-09-11 02:30,178,3.08
USGS,6752280,2013-09-11 02:45,176,3.07
USGS,6752280,2013-09-11 03:00,174,3.05
USGS,6752280,2013-09-11 03:15,169,3.03
USGS,6752280,2013-09-11 03:30,167,3.02
USGS,6752280,2013-09-11 03:45,165,3.01
USGS,6752280,2013-09-11 04:00,163,3
USGS,6752280,2013-09-11 04:15,163,3
USGS,6752280,2013-09-11 04:30,165,3.01
USGS,6752280,2013-09-11 04:45,167,3.02
USGS,6752280,2013-09-11 05:00,167,3.02
USGS,6752280,2013-09-11 05:15,167,3.02
USGS,6752280,2013-09-11 05:30,167,3.02
USGS,6752280,2013-09-11 05:45,165,3.01
USGS,6752280,2013-09-11 06:00,165,3.01
USGS,6752280,2013-09-11 06:15,165,3.01
USGS,6752280,2013-09-11 06:30,165,3.01
USGS,6752280,2013-09-11 06:45,165,3.01
USGS,6752280,2013-09-11 07:00,165,3.01
USGS,6752280,2013-09-11 07:15,167,3.02
USGS,6752280,2013-09-11 07:30,169,3.03
USGS,6752280,2013-09-11 07:45,174,3.05
USGS,6752280,2013-09-11 08:00,181,3.09
USGS,6752280,2013-09-11 08:15,190,3.13
USGS,6752280,2013-09-11 08:30,195,3.15
USGS,6752280,2013-09-11 08:45,198,3.16
USGS,6752280,2013-09-11 09:00,198,3.16
USGS,6752280,2013-09-11 09:15,195,3.15
USGS,6752280,2013-09-11 09:30,193,3.14
USGS,6752280,2013-09-11 09:45,190,3.13
USGS,6752280,2013-09-11 10:00,188,3.12
USGS,6752280,2013-09-11 10:15,188,3.12
USGS,6752280,2013-09-11 10:30,188,3.12
USGS,6752280,2013-09-11 10:45,190,3.13
USGS,6752280,2013-09-11 11:00,193,3.14
USGS,6752280,2013-09-11 11:15,198,3.16
USGS,6752280,2013-09-11 11:30,203,3.18
USGS,6752280,2013-09-11 11:45,210,3.21
USGS,6752280,2013-09-11 12:00,218,3.24
USGS,6752280,2013-09-11 12:15,224,3.26
USGS,6752280,2013-09-11 12:30,226,3.27
USGS,6752280,2013-09-11 12:45,226,3.27
USGS,6752280,2013-09-11 13:00,229,3.28
USGS,6752280,2013-09-11 13:15,229,3.28
USGS,6752280,2013-09-11 13:30,232,3.29
USGS,6752280,2013-09-11 13:45,229,3.28
USGS,6752280,2013-09-11 14:00,226,3.27
USGS,6752280,2013-09-11 14:15,229,3.28
USGS,6752280,2013-09-11 14:30,229,3.28
USGS,6752280,2013-09-11 14:45,229,3.28
USGS,6752280,2013-09-11 15:00,226,3.27
USGS,6752280,2013-09-11 15:15,224,3.26
USGS,6752280,2013-09-11 15:30,226,3.27
USGS,6752280,2013-09-11 15:45,226,3.27
USGS,6752280,2013-09-11 16:00,224,3.26
USGS,6752280,2013-09-11 16:15,221,3.25
USGS,6752280,2013-09-11 16:30,221,3.25
