agency,site_num,date,discharge_cfs,height_ft
USGS,394839104570300,2013-09-09 00:00,20,3.51
USGS,394839104570300,2013-09-09 00:15,19,3.5
USGS,394839104570300,2013-09-09 00:30,19,3.5
USGS,394839104570300,2013-09-09 00:45,19,3.5
USGS,394839104570300,2013-09-09 01:00,19,3.5
USGS,394839104570300,2013-09-09 01:15,19,3.5
USGS,394839104570300,2013-09-09 01:30,19,3.5
USGS,394839104570300,2013-09-09 01:45,19,3.5
USGS,394839104570300,2013-09-09 02:00,19,3.49
USGS,394839104570300,2013-09-09 02:15,19,3.49
USGS,394839104570300,2013-09-09 02:30,19,3.49
USGS,394839104570300,2013-09-09 02:45,19,3.49
USGS,394839104570300,2013-09-09 03:00,19,3.49
USGS,394839104570300,2013-09-09 03:15,19,3.49
USGS,394839104570300,2013-09-09 03:30,21,3.54
USGS,394839104570300,2013-09-09 03:45,21,3.54
USGS,394839104570300,2013-09-09 04:00,21,3.55
USGS,394839104570300,2013-09-09 04:15,21,3.55
USGS,394839104570300,2013-09-09 04:30,19,3.5
USGS,394839104570300,2013-09-09 04:45,19,3.49
USGS,394839104570300,2013-09-09 05:00,19,3.5
USGS,394839104570300,2013-09-09 05:15,22,3.56
USGS,394839104570300,2013-09-09 05:30,22,3.57
USGS,394839104570300,2013-09-09 05:45,22,3.57
USGS,394839104570300,2013-09-09 06:00,22,3.57
USGS,394839104570300,2013-09-09 06:15,20,3.52
USGS,394839104570300,2013-09-09 06:30,21,3.53
USGS,394839104570300,2013-09-09 06:45,21,3.53
USGS,394839104570300,2013-09-09 07:00,21,3.53
USGS,394839104570300,2013-09-09 07:15,21,3.53
USGS,394839104570300,2013-09-09 07:30,23,3.58
USGS,394839104570300,2013-09-09 07:45,23,3.58
USGS,394839104570300,2013-09-09 08:00,23,3.58
USGS,394839104570300,2013-09-09 08:15,20,3.52
USGS,394839104570300,2013-09-09 08:30,20,3.51
USGS,394839104570300,2013-09-09 08:45,20,3.51
USGS,394839104570300,2013-09-09 09:00,20,3.51
USGS,394839104570300,2013-09-09 09:15,20,3.51
USGS,394839104570300,2013-09-09 09:30,22,3.56
USGS,394839104570300,2013-09-09 09:45,22,3.56
USGS,394839104570300,2013-09-09 10:00,22,3.56
USGS,394839104570300,2013-09-09 10:15,21,3.54
USGS,394839104570300,2013-09-09 10:30,16,3.43
USGS,394839104570300,2013-09-09 10:45,17,3.45
USGS,394839104570300,2013-09-09 11:00,21,3.55
USGS,394839104570300,2013-09-09 11:15,24,3.61
USGS,394839104570300,2013-09-09 11:30,24,3.61
USGS,394839104570300,2013-09-09 11:45,21,3.55
USGS,394839104570300,2013-09-09 12:00,21,3.55
USGS,394839104570300,2013-09-09 12:15,21,3.55
USGS,394839104570300,2013-09-09 12:30,21,3.55
USGS,394839104570300,2013-09-09 12:45,21,3.54
USGS,394839104570300,2013-09-09 13:00,18,3.48
USGS,394839104570300,2013-09-09 13:15,18,3.47
USGS,394839104570300,2013-09-09 13:30,21,3.53
USGS,394839104570300,2013-09-09 13:45,21,3.53
USGS,394839104570300,2013-09-09 14:00,20,3.52
USGS,394839104570300,2013-09-09 14:15,20,3.52
USGS,394839104570300,2013-09-09 14:30,18,3.48
USGS,394839104570300,2013-09-09 14:45,18,3.47
USGS,394839104570300,2013-09-09 15:00,22,3.57
USGS,394839104570300,2013-09-09 15:15,21,3.55
USGS,394839104570300,2013-09-09 15:30,21,3.53
USGS,394839104570300,2013-09-09 15:45,23,3.58
USGS,394839104570300,2013-09-09 16:00,25,3.63
USGS,394839104570300,2013-09-09 16:15,29,3.71
USGS,394839104570300,2013-09-09 16:30,30,3.74
USGS,394839104570300,2013-09-09 16:45,37,3.86
USGS,394839104570300,2013-09-09 17:00,40,3.9
USGS,394839104570300,2013-09-09 17:15,37,3.86
USGS,394839104570300,2013-09-09 17:30,34,3.8
USGS,394839104570300,2013-09-09 17:45,29,3.71
USGS,394839104570300,2013-09-09 18:00,27,3.68
USGS,394839104570300,2013-09-09 18:15,28,3.7
USGS,394839104570300,2013-09-09 18:30,30,3.72
USGS,394839104570300,2013-09-09 18:45,15,3.39
USGS,394839104570300,2013-09-09 19:00,14,3.36
USGS,394839104570300,2013-09-09 19:15,14,3.35
USGS,394839104570300,2013-09-09 19:30,14,3.33
USGS,394839104570300,2013-09-09 19:45,11,3.2
USGS,394839104570300,2013-09-09 20:00,9.4,3.1
USGS,394839104570300,2013-09-09 20:15,8.9,3.07
USGS,394839104570300,2013-09-09 20:30,8.6,3.05
USGS,394839104570300,2013-09-09 20:45,8.5,3.04
USGS,394839104570300,2013-09-09 21:00,8.2,3.02
USGS,394839104570300,2013-09-09 21:15,8.1,3.01
