agency,site_num,date,discharge_cfs,height_ft
USGS,6721000,2013-09-09 00:00,176,3.44
USGS,6721000,2013-09-09 00:15,182,3.46
USGS,6721000,2013-09-09 00:30,185,3.47
USGS,6721000,2013-09-09 00:45,188,3.48
USGS,6721000,2013-09-09 01:00,191,3.49
USGS,6721000,2013-09-09 01:15,200,3.52
USGS,6721000,2013-09-09 01:30,203,3.53
USGS,6721000,2013-09-09 01:45,209,3.55
USGS,6721000,2013-09-09 02:00,216,3.57
USGS,6721000,2013-09-09 02:15,219,3.58
USGS,6721000,2013-09-09 02:30,222,3.59
USGS,6721000,2013-09-09 02:45,226,3.6
USGS,6721000,2013-09-09 03:00,226,3.6
USGS,6721000,2013-09-09 03:15,226,3.6
USGS,6721000,2013-09-09 03:30,229,3.61
USGS,6721000,2013-09-09 03:45,232,3.62
USGS,6721000,2013-09-09 04:00,232,3.62
USGS,6721000,2013-09-09 04:15,236,3.63
USGS,6721000,2013-09-09 04:30,236,3.63
USGS,6721000,2013-09-09 04:45,236,3.63
USGS,6721000,2013-09-09 05:00,243,3.65
USGS,6721000,2013-09-09 05:15,239,3.64
USGS,6721000,2013-09-09 05:30,243,3.65
USGS,6721000,2013-09-09 05:45,243,3.65
USGS,6721000,2013-09-09 06:00,246,3.66
USGS,6721000,2013-09-09 06:15,249,3.67
USGS,6721000,2013-09-09 06:30,253,3.68
USGS,6721000,2013-09-09 06:45,249,3.67
USGS,6721000,2013-09-09 07:00,253,3.68
USGS,6721000,2013-09-09 07:15,260,3.7
USGS,6721000,2013-09-09 07:30,256,3.69
USGS,6721000,2013-09-09 07:45,260,3.7
USGS,6721000,2013-09-09 08:00,256,3.69
USGS,6721000,2013-09-09 08:15,264,3.71
USGS,6721000,2013-09-09 08:30,264,3.71
USGS,6721000,2013-09-09 08:45,264,3.71
USGS,6721000,2013-09-09 09:00,267,3.72
USGS,6721000,2013-09-09 09:15,271,3.73
USGS,6721000,2013-09-09 09:30,271,3.73
USGS,6721000,2013-09-09 09:45,271,3.73
USGS,6721000,2013-09-09 10:00,278,3.75
USGS,6721000,2013-09-09 10:15,278,3.75
USGS,6721000,2013-09-09 10:30,278,3.75
USGS,6721000,2013-09-09 10:45,301,3.81
USGS,6721000,2013-09-09 11:00,297,3.8
USGS,6721000,2013-09-09 11:15,301,3.81
USGS,6721000,2013-09-09 11:30,301,3.81
USGS,6721000,2013-09-09 11:45,301,3.81
USGS,6721000,2013-09-09 12:00,304,3.82
USGS,6721000,2013-09-09 12:15,301,3.81
USGS,6721000,2013-09-09 12:30,301,3.81
USGS,6721000,2013-09-09 12:45,301,3.81
USGS,6721000,2013-09-09 13:00,293,3.79
USGS,6721000,2013-09-09 13:15,297,3.8
USGS,6721000,2013-09-09 13:30,293,3.79
USGS,6721000,2013-09-09 13:45,293,3.79
USGS,6721000,2013-09-09 14:00,289,3.78
USGS,6721000,2013-09-09 14:15,289,3.78
USGS,6721000,2013-09-09 14:30,289,3.78
USGS,6721000,2013-09-09 14:45,285,3.77
USGS,6721000,2013-09-09 15:00,282,3.76
USGS,6721000,2013-09-09 15:15,278,3.75
USGS,6721000,2013-09-09 15:30,274,3.74
USGS,6721000,2013-09-09 15:45,274,3.74
USGS,6721000,2013-09-09 16:00,267,3.72
USGS,6721000,2013-09-09 16:15,260,3.7
USGS,6721000,2013-09-09 16:30,260,3.7
USGS,6721000,2013-09-09 16:45,236,3.63
USGS,6721000,2013-09-09 17:00,229,3.61
USGS,6721000,2013-09-09 17:15,229,3.61
USGS,6721000,2013-09-09 17:30,226,3.6
USGS,6721000,2013-09-09 17:45,226,3.6
USGS,6721000,2013-09-09 18:00,219,3.58
USGS,6721000,2013-09-09 18:15,219,3.58
USGS,6721000,2013-09-09 18:30,219,3.58
USGS,6721000,2013-09-09 18:45,229,3.61
USGS,6721000,2013-09-09 19:00,226,3.6
USGS,6721000,2013-09-09 19:15,229,3.61
USGS,6721000,2013-09-09 19:30,229,3.61
USGS,6721000,2013-09-09 19:45,229,3.61
USGS,6721000,2013-09-09 20:00,243,3.65
USGS,6721000,2013-09-09 20:15,243,3.65
USGS,6721000,2013-09-09 20:30,249,3.67
USGS,6721000,2013-09-09 20:45,256,3.69
USGS,6721000,2013-09-09 21:00,256,3.69
USGS,6721000,2013-09-09 21:15,253,3.68
USGS,6721000,2013-09-09 21:30,253,3.68
USGS,6721000,2013-09-09 21:45,253,3.68
USGS,6721000,2013-09-09 22:00,260,3.7
USGS,6721000,2013-09-09 22:15,267,3.72
USGS,6721000,2013-09-09 22:30,264,3.71
USGS,6721000,2013-09-09 22:45,274,3.74
USGS,6721000,2013-09-09 23:00,282,3.76
USGS,6721000,2013-09-09 23:15,289,3.78
USGS,6721000,2013-09-09 23:30,293,3.79
USGS,6721000,2013-09-09 23:45,293,3.79
USGS,6721000,2013-09-10 00:00,293,3.79
USGS,6721000,2013-09-10 00:15,304,3.82
USGS,6721000,2013-09-10 00:30,336,3.9
USGS,6721000,2013-09-10 00:45,382,4.01
USGS,6721000,2013-09-10 01:00,445,4.15
USGS,6721000,2013-09-10 01:15,533,4.33
USGS,6721000,2013-09-10 01:30,619,4.49
USGS,6721000,2013-09-10 01:45,699,4.63
USGS,6721000,2013-09-10 02:00,809,4.81
USGS,6721000,2013-09-10 02:15,907,4.96
USGS,6721000,2013-09-10 02:30,990,5.08
USGS,6721000,2013-09-10 02:45,1100,5.23
USGS,6721000,2013-09-10 03:00,1180,5.34
USGS,6721000,2013-09-10 03:15,1260,5.44
USGS,6721000,2013-09-10 03:30,1330,5.53
USGS,6721000,2013-09-10 03:45,1370,5.58
USGS,6721000,2013-09-10 04:00,1400,5.61
USGS,6721000,2013-09-10 04:15,1420,5.64
USGS,6721000,2013-09-10 04:30,1430,5.65
USGS,6721000,2013-09-10 04:45,1430,5.65
USGS,6721000,2013-09-10 05:00,1420,5.64
USGS,6721000,2013-09-10 05:15,1420,5.63
USGS,6721000,2013-09-10 05:30,1390,5.6
USGS,6721000,2013-09-10 05:45,1380,5.59
USGS,6721000,2013-09-10 06:00,1370,5.58
USGS,6721000,2013-09-10 06:15,1370,5.57
USGS,6721000,2013-09-10 06:30,1380,5.59
USGS,6721000,2013-09-10 06:45,1370,5.58
USGS,6721000,2013-09-10 07:00,1380,5.59
USGS,6721000,2013-09-10 07:15,1410,5.62
USGS,6721000,2013-09-10 07:30,1430,5.65
USGS,6721000,2013-09-10 07:45,1450,5.67
USGS,6721000,2013-09-10 08:00,1460,5.68
USGS,6721000,2013-09-10 08:15,1470,5.69
USGS,6721000,2013-09-10 08:30,1480,5.7
USGS,6721000,2013-09-10 08:45,1480,5.7
USGS,6721000,2013-09-10 09:00,1480,5.7
USGS,6721000,2013-09-10 09:15,1460,5.68
USGS,6721000,2013-09-10 09:30,1440,5.66
USGS,6721000,2013-09-10 09:45,1420,5.63
USGS,6721000,2013-09-10 10:00,1390,5.6
USGS,6721000,2013-09-10 10:15,1370,5.57
USGS,6721000,2013-09-10 10:30,1320,5.51
USGS,6721000,2013-09-10 10:45,1270,5.45
USGS,6721000,2013-09-10 11:00,1240,5.42
USGS,6721000,2013-09-10 11:15,1200,5.36
USGS,6721000,2013-09-10 11:30,1150,5.3
USGS,6721000,2013-09-10 11:45,1130,5.27
USGS,6721000,2013-09-10 12:00,1090,5.22
USGS,6721000,2013-09-10 12:15,1070,5.19
USGS,6721000,2013-09-10 12:30,1050,5.17
USGS,6721000,2013-09-10 12:45,1030,5.13
